vol_name,dice_aneur_kostas,recall_aneur_kostas,precision_aneur_kostas,dice_tm,recall_tm,precision_tm,mhd,dice_tm_aneurysm_only,recall_tm_aneurysm_only,precision_tm_aneurysm_only,mhd_aneurysm_only
18.nii.gz,0.9927634596824646,0.9856308698654175,1.0,0.843258261680603,0.8919471502304077,0.8919471502304077,1.0825571881867369,0.8533390164375305,0.8994162678718567,0.8994162678718567,27.679679034331954
19.nii.gz,0.9810169339179993,0.9627411961555481,1.0,0.8494663834571838,0.8911821842193604,0.8911821842193604,2.336167789845227,0.8155940771102905,0.7307606935501099,0.7307606935501099,1.0073810865727209
61.nii.gz,0.9316428899765015,0.8720332384109497,1.0,0.8477201461791992,0.8579158186912537,0.8579158186912537,3.1854573313779495,0.38879430294036865,0.2484177201986313,0.2484177201986313,5.760598553292498
49.nii.gz,0.9250055551528931,0.8604747653007507,1.0,0.8691975474357605,0.8563590049743652,0.8563590049743652,3.3993476451076505,0.8302664756774902,0.75034499168396,0.75034499168396,2.748642501151385
31.nii.gz,0.9629068970680237,0.9284671545028687,1.0,0.8789057731628418,0.8766894340515137,0.8766894340515137,0.4737202209711703,0.8797743320465088,0.91070556640625,0.91070556640625,1.8705930097115193
51.nii.gz,0.9239346981048584,0.8586232662200928,1.0,0.8855090737342834,0.9001413583755493,0.9001413583755493,0.45995377555922345,0.6157655715942383,0.5521835684776306,0.5521835684776306,33.17487401554051
48.nii.gz,0.9957888722419739,0.9916130900382996,1.0,0.7429409623146057,0.9431325793266296,0.9431325793266296,12.052795330740732,0.9741905331611633,0.9913608431816101,0.9913608431816101,0.08196416353300813
27.nii.gz,1.0,1.0,1.0,0.8222116231918335,0.8638727068901062,0.8638727068901062,2.8499133952018534,0.7970401644706726,0.9285714030265808,0.9285714030265808,0.3275357939393144
1.nii.gz,0.8653421401977539,0.7626459002494812,1.0,0.7894339561462402,0.6796296238899231,0.6796296238899231,2.7862381020252216,0.20070011913776398,0.1115434467792511,0.1115434467792511,3.0252658183565027
0.nii.gz,0.8949660062789917,0.809899091720581,1.0,0.7941905856132507,0.7952264547348022,0.7952264547348022,3.4359280447910403,0.8090090155601501,0.7077553868293762,0.7077553868293762,0.37782740817820565
3.nii.gz,0.9668227434158325,0.9357761740684509,1.0,0.8743994832038879,0.9249469637870789,0.9249469637870789,0.4960004517823845,0.9245172739028931,0.9338061213493347,0.9338061213493347,0.08918604541228407
7.nii.gz,0.9525514841079712,0.9094017148017883,1.0,0.8279306888580322,0.9013693332672119,0.9013693332672119,1.4854563900187878,0.8853998780250549,0.8595441579818726,0.8595441579818726,1.9648078049904096
25.nii.gz,0.9582870602607727,0.9199146628379822,1.0,0.8560824990272522,0.8511371612548828,0.8511371612548828,0.8279173853050383,0.906029462814331,0.8712430000305176,0.8712430000305176,1.6717159197181162
